Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Is_ETF
2001-11-29,13.386666297912598,14.466666221618652,13.359999656677246,13.880000114440918,13.078696250915527,371100,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-11-30,13.880000114440918,14.266666412353516,13.880000114440918,14.266666412353516,13.443038940429688,165300,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-03,14.233333587646484,14.233333587646484,13.783333778381348,13.783333778381348,12.9876070022583,127500,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-04,13.783333778381348,13.783333778381348,13.233333587646484,13.233333587646484,12.469359397888184,95400,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-05,13.433333396911621,14.783333778381348,13.433333396911621,14.666666984558105,13.819945335388184,598200,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-06,14.733333587646484,14.733333587646484,14.569999694824219,14.573333740234375,13.732000350952148,157200,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-07,14.583333015441895,14.666666984558105,14.466666221618652,14.666666984558105,13.819945335388184,215100,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-10,14.633333206176758,14.640000343322754,14.58666706085205,14.616666793823242,13.772831916809082,119100,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-11,14.600000381469727,14.710000038146973,14.58666706085205,14.58666706085205,13.74456787109375,378600,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-12,14.583333015441895,14.583333015441895,14.036666870117188,14.100000381469727,13.285994529724121,114600,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-13,14.083333015441895,14.266666412353516,13.966666221618652,13.966666221618652,13.160356521606445,113700,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-14,13.949999809265137,13.949999809265137,13.516666412353516,13.630000114440918,12.843127250671387,233400,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-17,13.66333293914795,14.0,13.66333293914795,13.666666984558105,12.877677917480469,106200,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-18,13.683333396911621,13.866666793823242,13.666666984558105,13.666666984558105,12.877677917480469,101400,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-19,13.666666984558105,13.683333396911621,13.579999923706055,13.683333396911621,12.893380165100098,157800,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-20,13.733333587646484,14.229999542236328,13.733333587646484,14.100000381469727,13.285994529724121,97200,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-21,14.183333396911621,15.300000190734863,14.166666984558105,15.113333702087402,14.240829467773438,659400,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-24,15.100000381469727,15.350000381469727,15.066666603088379,15.266666412353516,14.385306358337402,50700,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-26,15.300000190734863,15.65333366394043,15.266666412353516,15.333333015441895,14.448122024536133,378000,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-27,15.75,15.883333206176758,15.399999618530273,15.649999618530273,14.746506690979004,349200,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-28,15.733333587646484,15.733333587646484,15.633333206176758,15.683333396911621,14.777915954589844,295500,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2001-12-31,15.699999809265137,16.58333396911621,15.566666603088379,16.58333396911621,15.625964164733887,255900,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2002-01-02,16.16666603088379,16.16666603088379,15.883333206176758,15.926666259765625,15.007205963134766,132300,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
2002-01-03,15.899999618530273,15.90333366394043,15.100000381469727,15.100000381469727,14.228264808654785,89700,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
