Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Is_ETF
1988-04-14,0.0,2.5625,2.5,2.53125,0.19929035007953644,471200,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-15,2.53125,2.59375,2.53125,2.59375,0.20421116054058075,430000,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-18,2.59375,2.625,2.5625,2.59375,0.20421116054058075,376400,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-19,2.625,2.65625,2.625,2.625,0.2066715955734253,364400,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-20,2.625,2.65625,2.625,2.65625,0.2091318666934967,317600,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-21,2.65625,2.6875,2.625,2.6875,0.21159227192401886,314400,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-22,2.6875,2.6875,2.65625,2.65625,0.2091318666934967,133600,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-25,2.625,2.625,2.5625,2.5625,0.201750710606575,405200,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-26,2.5625,2.59375,2.5625,2.5625,0.201750710606575,204800,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-27,2.5625,2.59375,2.5625,2.59375,0.20421116054058075,47600,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-28,2.59375,2.59375,2.5625,2.5625,0.201750710606575,193600,AB,AllianceBernstein Holding L.P.  Units,N
1988-04-29,2.5625,2.59375,2.5625,2.5625,0.201750710606575,129600,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-02,2.5625,2.59375,2.5625,2.59375,0.20421116054058075,85600,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-03,2.59375,2.59375,2.5625,2.5625,0.201750710606575,157600,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-04,2.5625,2.59375,2.5625,2.5625,0.201750710606575,114400,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-05,2.5625,2.59375,2.5625,2.5625,0.201750710606575,104800,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-06,2.5625,2.59375,2.5625,2.59375,0.20421116054058075,70800,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-09,2.5625,2.5625,2.5625,2.5625,0.201750710606575,76000,AB,AllianceBernstein Holding L.P.  Units,N
1988-05-10,2.5625,2.59375,2.5625,2.59375,0.20421116054058075,128800,AB,AllianceBernstein Holding L.P.  Units,N
