Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Is_ETF
2020-12-23,27.5,27.600000381469727,27.461000442504883,27.461000442504883,27.39853286743164,3200,ACVF,American Conservative Values ETF,Y
2020-12-24,27.47100067138672,27.489999771118164,27.46500015258789,27.47800064086914,27.415494918823242,800,ACVF,American Conservative Values ETF,Y
2020-12-28,28.079999923706055,28.079999923706055,27.770000457763672,27.819000244140625,27.755718231201172,5900,ACVF,American Conservative Values ETF,Y
2020-12-29,28.030000686645508,28.030000686645508,27.690000534057617,27.69499969482422,27.631999969482422,3600,ACVF,American Conservative Values ETF,Y
2020-12-30,28.0,28.0,27.700000762939453,27.700000762939453,27.700000762939453,2000,ACVF,American Conservative Values ETF,Y
2020-12-31,27.700000762939453,27.83099937438965,27.600000381469727,27.83099937438965,27.83099937438965,2800,ACVF,American Conservative Values ETF,Y
2021-01-04,28.059999465942383,28.059999465942383,27.200000762939453,27.35099983215332,27.35099983215332,3800,ACVF,American Conservative Values ETF,Y
2021-01-05,27.43000030517578,27.6200008392334,27.423999786376953,27.559999465942383,27.559999465942383,3700,ACVF,American Conservative Values ETF,Y
2021-01-06,27.665000915527344,27.8799991607666,27.665000915527344,27.70599937438965,27.70599937438965,3000,ACVF,American Conservative Values ETF,Y
2021-01-07,27.899999618530273,28.145000457763672,27.899999618530273,28.145000457763672,28.145000457763672,1000,ACVF,American Conservative Values ETF,Y
2021-01-08,28.360000610351562,28.360000610351562,28.014999389648438,28.218000411987305,28.218000411987305,4600,ACVF,American Conservative Values ETF,Y
2021-01-11,28.489999771118164,28.489999771118164,28.010000228881836,28.06599998474121,28.06599998474121,8300,ACVF,American Conservative Values ETF,Y
2021-01-12,28.049999237060547,28.360000610351562,28.0,28.09000015258789,28.09000015258789,9400,ACVF,American Conservative Values ETF,Y
2021-01-13,28.149999618530273,28.15399932861328,28.079999923706055,28.15399932861328,28.15399932861328,3600,ACVF,American Conservative Values ETF,Y
2021-01-14,28.200000762939453,28.350000381469727,28.010000228881836,28.014999389648438,28.014999389648438,8000,ACVF,American Conservative Values ETF,Y
2021-01-15,30.0,30.0,27.690000534057617,27.899999618530273,27.899999618530273,14300,ACVF,American Conservative Values ETF,Y
2021-01-19,28.149999618530273,28.149999618530273,27.948999404907227,28.0939998626709,28.0939998626709,8200,ACVF,American Conservative Values ETF,Y
2021-01-20,28.34000015258789,28.540000915527344,28.31999969482422,28.51099967956543,28.51099967956543,7500,ACVF,American Conservative Values ETF,Y
2021-01-21,28.729999542236328,28.729999542236328,28.430999755859375,28.520000457763672,28.520000457763672,7000,ACVF,American Conservative Values ETF,Y
2021-01-22,28.43000030517578,28.450000762939453,28.350000381469727,28.416000366210938,28.416000366210938,16400,ACVF,American Conservative Values ETF,Y
