Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Is_ETF
2020-05-14,1.8600000143051147,1.8799999952316284,1.850000023841858,1.8799999952316284,1.8799999952316284,4600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-15,1.840000033378601,1.9199999570846558,1.7899999618530273,1.9199999570846558,1.9199999570846558,18900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-18,1.9199999570846558,2.0,1.9199999570846558,1.9800000190734863,1.9800000190734863,62700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-19,1.940000057220459,1.9600000381469727,1.8799999952316284,1.9500000476837158,1.9500000476837158,17100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-20,1.9500000476837158,1.9900000095367432,1.8799999952316284,1.9500000476837158,1.9500000476837158,162000,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-21,1.9500000476837158,1.9900000095367432,1.9500000476837158,1.9500000476837158,1.9500000476837158,30400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-22,1.9500000476837158,2.0,1.9299999475479126,1.940000057220459,1.940000057220459,56900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-26,1.9500000476837158,2.0,1.940000057220459,2.0,2.0,52800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-27,2.0,2.0,1.9299999475479126,2.0,2.0,16700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-28,2.0199999809265137,2.0199999809265137,1.9700000286102295,1.9700000286102295,1.9700000286102295,43600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-05-29,1.940000057220459,2.200000047683716,1.940000057220459,2.1500000953674316,2.1500000953674316,142300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-01,2.119999885559082,2.140000104904175,2.009999990463257,2.0999999046325684,2.0999999046325684,108300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-02,2.069999933242798,2.25,2.069999933242798,2.2300000190734863,2.2300000190734863,217200,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-03,2.200000047683716,2.299999952316284,2.0999999046325684,2.259999990463257,2.259999990463257,160800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-04,2.319999933242798,2.3499999046325684,2.2699999809265137,2.3499999046325684,2.3499999046325684,68400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-05,2.359999895095825,2.4000000953674316,2.2899999618530273,2.3499999046325684,2.3499999046325684,75700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-08,2.3499999046325684,2.3499999046325684,2.2100000381469727,2.240000009536743,2.240000009536743,18900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-09,2.25,2.2899999618530273,2.1600000858306885,2.2699999809265137,2.2699999809265137,7100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-10,2.200000047683716,2.2699999809265137,2.0999999046325684,2.180000066757202,2.180000066757202,12800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-11,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-12,2.2899999618530273,2.380000114440918,2.1600000858306885,2.259999990463257,2.259999990463257,94900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-15,2.2699999809265137,2.2699999809265137,2.2200000286102295,2.25,2.25,40600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-16,2.25,2.299999952316284,2.2300000190734863,2.25,2.25,181300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-17,2.190000057220459,2.2799999713897705,2.109999895095825,2.2799999713897705,2.2799999713897705,7300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-18,2.25,2.2699999809265137,2.1700000762939453,2.25,2.25,36100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-19,2.2899999618530273,2.299999952316284,2.200000047683716,2.25,2.25,51000,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-22,2.2300000190734863,2.299999952316284,2.2100000381469727,2.2100000381469727,2.2100000381469727,6700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-23,2.1500000953674316,2.2699999809265137,2.1500000953674316,2.2200000286102295,2.2200000286102295,8300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-24,2.200000047683716,2.240000009536743,2.140000104904175,2.190000057220459,2.190000057220459,37100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-25,2.1600000858306885,2.25,2.1500000953674316,2.2100000381469727,2.2100000381469727,94800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-26,2.180000066757202,2.299999952316284,2.180000066757202,2.2699999809265137,2.2699999809265137,95400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-29,2.200000047683716,2.25,2.200000047683716,2.25,2.25,2400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-06-30,2.2200000286102295,2.25,2.190000057220459,2.190000057220459,2.190000057220459,14300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-01,2.190000057220459,2.25,2.140000104904175,2.25,2.25,37900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-02,2.2799999713897705,2.2799999713897705,2.1700000762939453,2.25,2.25,700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-06,2.299999952316284,2.299999952316284,2.190000057220459,2.190000057220459,2.190000057220459,64900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-07,2.2799999713897705,2.2799999713897705,2.2200000286102295,2.2200000286102295,2.2200000286102295,7100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-08,2.190000057220459,2.299999952316284,2.190000057220459,2.25,2.25,131700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-09,2.2200000286102295,2.259999990463257,2.200000047683716,2.200000047683716,2.200000047683716,5100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-10,2.2200000286102295,2.25,2.190000057220459,2.2200000286102295,2.2200000286102295,150900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-13,2.180000066757202,2.259999990463257,2.130000114440918,2.180000066757202,2.180000066757202,46900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-14,2.0199999809265137,2.2100000381469727,2.0199999809265137,2.200000047683716,2.200000047683716,234800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-15,2.25,2.299999952316284,2.1500000953674316,2.2200000286102295,2.2200000286102295,13800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-16,2.190000057220459,2.3399999141693115,2.190000057220459,2.2300000190734863,2.2300000190734863,2900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-17,2.3299999237060547,2.3299999237060547,2.2200000286102295,2.240000009536743,2.240000009536743,1200,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-20,2.200000047683716,2.2100000381469727,2.190000057220459,2.200000047683716,2.200000047683716,8400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-21,2.180000066757202,2.240000009536743,2.180000066757202,2.2200000286102295,2.2200000286102295,1100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-22,2.180000066757202,2.190000057220459,2.1700000762939453,2.1700000762939453,2.1700000762939453,389600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-23,2.1700000762939453,2.2300000190734863,2.1700000762939453,2.180000066757202,2.180000066757202,7100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-07-24,2.140000104904175,2.2100000381469727,2.140000104904175,2.190000057220459,2.190000057220459,1500,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-12,2.049999952316284,2.049999952316284,2.009999990463257,2.0399999618530273,2.0399999618530273,19200,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-13,1.850000023841858,2.1500000953674316,1.850000023841858,2.1500000953674316,2.1500000953674316,1800,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-16,2.0999999046325684,2.0999999046325684,1.8200000524520874,1.8600000143051147,1.8600000143051147,31100,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-17,1.9500000476837158,2.0399999618530273,1.909999966621399,2.009999990463257,2.009999990463257,9600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-18,1.9600000381469727,2.190000057220459,1.940000057220459,2.0,2.0,12900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-19,2.009999990463257,2.009999990463257,1.9500000476837158,1.9800000190734863,1.9800000190734863,9600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-20,2.0299999713897705,2.200000047683716,2.0299999713897705,2.1700000762939453,2.1700000762939453,134400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-23,2.25,2.25,2.0799999237060547,2.1600000858306885,2.1600000858306885,22600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-24,2.0999999046325684,2.2300000190734863,2.0999999046325684,2.200000047683716,2.200000047683716,17700,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-25,2.069999933242798,2.2799999713897705,2.069999933242798,2.1700000762939453,2.1700000762939453,88300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-27,2.130000114440918,2.2899999618530273,2.130000114440918,2.2699999809265137,2.2699999809265137,52400,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-11-30,2.2300000190734863,2.3299999237060547,2.2100000381469727,2.3299999237060547,2.3299999237060547,79900,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-12-01,2.3499999046325684,2.4000000953674316,2.319999933242798,2.4000000953674316,2.4000000953674316,59300,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-12-02,2.4000000953674316,2.440000057220459,2.2300000190734863,2.440000057220459,2.440000057220459,188000,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-12-03,2.440000057220459,2.440000057220459,2.2899999618530273,2.4000000953674316,2.4000000953674316,103200,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-12-04,2.4000000953674316,2.5,2.3299999237060547,2.359999895095825,2.359999895095825,170600,AENZ,Aenza S.A.A. American Depositary Shares,N
2020-12-07,2.2300000190734863,2.450000047683716,2.2300000190734863,2.4100000858306885,2.4100000858306885,83400,AENZ,Aenza S.A.A. American Depositary Shares,N
