Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Is_ETF
1992-04-16,4.666666507720947,4.75,4.666666507720947,4.666666507720947,4.201060771942139,3240000,AGCO,AGCO Corporation Common Stock,N
1992-04-20,4.666666507720947,4.75,4.666666507720947,4.75,4.276079177856445,291000,AGCO,AGCO Corporation Common Stock,N
1992-04-21,4.666666507720947,4.75,4.666666507720947,4.666666507720947,4.201060771942139,154800,AGCO,AGCO Corporation Common Stock,N
1992-04-22,4.666666507720947,4.75,4.666666507720947,4.75,4.276079177856445,103800,AGCO,AGCO Corporation Common Stock,N
1992-04-23,4.75,4.75,4.666666507720947,4.666666507720947,4.201060771942139,16800,AGCO,AGCO Corporation Common Stock,N
1992-04-24,4.708333492279053,4.916666507720947,4.666666507720947,4.833333492279053,4.35109806060791,177200,AGCO,AGCO Corporation Common Stock,N
1992-04-27,4.916666507720947,4.916666507720947,4.75,4.75,4.276079177856445,9000,AGCO,AGCO Corporation Common Stock,N
1992-04-28,4.75,4.791666507720947,4.75,4.791666507720947,4.3135881423950195,30200,AGCO,AGCO Corporation Common Stock,N
1992-04-29,4.791666507720947,4.833333492279053,4.75,4.75,4.276079177856445,81000,AGCO,AGCO Corporation Common Stock,N
1992-04-30,4.916666507720947,5.166666507720947,4.833333492279053,5.0,4.501137733459473,58400,AGCO,AGCO Corporation Common Stock,N
1992-05-01,5.0,5.166666507720947,4.916666507720947,4.916666507720947,4.426116943359375,4200,AGCO,AGCO Corporation Common Stock,N
1992-05-04,4.916666507720947,5.166666507720947,4.916666507720947,5.166666507720947,4.651176929473877,8000,AGCO,AGCO Corporation Common Stock,N
1992-05-05,4.916666507720947,5.166666507720947,4.916666507720947,5.0,4.501137733459473,4200,AGCO,AGCO Corporation Common Stock,N
1992-05-06,5.0,5.041666507720947,4.958333492279053,4.958333492279053,4.463627815246582,265400,AGCO,AGCO Corporation Common Stock,N
1992-05-07,5.166666507720947,5.166666507720947,4.916666507720947,5.166666507720947,4.651176929473877,33800,AGCO,AGCO Corporation Common Stock,N
1992-05-08,4.916666507720947,5.166666507720947,4.916666507720947,5.166666507720947,4.651176929473877,1400,AGCO,AGCO Corporation Common Stock,N
1992-05-11,5.166666507720947,5.166666507720947,4.916666507720947,5.0,4.501137733459473,7800,AGCO,AGCO Corporation Common Stock,N
